age,marathoner_type,vaporfly,race_time,male
41,enthusiastic,1,11755.176,1
42,enthusiastic,1,14980.95,0
39,enthusiastic,0,12342.542,1
29,enthusiastic,0,13142.107,1
34,enthusiastic,1,13255.874,0
33,enthusiastic,1,12539.316,0
48,enthusiastic,1,12097.883,1
36,enthusiastic,0,15675.568,0
37,enthusiastic,1,14472.635,0
29,enthusiastic,0,14303.63,0
30,enthusiastic,0,18753.447,0
31,enthusiastic,1,15170.614,0
31,enthusiastic,0,14747.188,0
32,enthusiastic,1,12744.346,0
34,enthusiastic,0,11956.924,1
40,enthusiastic,1,14474.496,0
31,enthusiastic,1,11540.857,1
35,enthusiastic,0,12244.536,1
31,enthusiastic,1,11237.279,0
44,enthusiastic,0,12363.628,1
28,enthusiastic,0,17076.527,0
28,enthusiastic,1,13665.368,1
37,enthusiastic,0,10505.555,1
29,enthusiastic,1,15687.818,0
26,enthusiastic,0,12146.454,1
33,enthusiastic,0,11320.901,1
30,enthusiastic,1,15079.78,0
25,enthusiastic,1,16039.271,0
40,enthusiastic,1,12070.246,1
37,enthusiastic,0,14516.121,0
35,enthusiastic,1,12823.47,0
29,enthusiastic,0,16049.283,0
32,enthusiastic,0,13493.952,1
25,enthusiastic,0,14009.135,0
44,enthusiastic,1,13783.37,0
28,enthusiastic,0,13650.82,1
35,enthusiastic,0,11525.039,1
34,enthusiastic,0,10676.488,1
31,enthusiastic,1,13771.127,0
43,enthusiastic,1,12280.329,0
37,enthusiastic,0,14802.959,0
35,enthusiastic,1,12982.539,0
20,enthusiastic,0,18453.438,0
33,enthusiastic,0,10617.857,1
33,enthusiastic,1,15470.233,0
31,enthusiastic,1,11443.673,1
35,enthusiastic,1,13166.536,0
28,enthusiastic,0,14220.254,1
39,enthusiastic,0,11759.998,0
40,enthusiastic,1,12199.488,1
46,enthusiastic,1,9473.2568,1
37,enthusiastic,1,14447.8,0
27,enthusiastic,0,15428.602,0
38,enthusiastic,0,13204.476,0
40,enthusiastic,0,13723.039,0
37,enthusiastic,0,13350.759,0
40,enthusiastic,0,12781.816,1
31,enthusiastic,0,17419.949,0
29,enthusiastic,0,11661.958,1
29,enthusiastic,0,15498.59,0
27,enthusiastic,1,13395.234,1
36,enthusiastic,1,10654.088,1
25,enthusiastic,0,14705.884,1
31,enthusiastic,1,17025.119,0
25,enthusiastic,0,15003.108,0
24,enthusiastic,0,13060.024,0
39,enthusiastic,0,12834.492,1
32,enthusiastic,0,14939.243,1
29,enthusiastic,0,13311.101,1
39,enthusiastic,1,12237.722,1
36,enthusiastic,0,15170.377,0
30,enthusiastic,1,16199.596,0
44,enthusiastic,0,12867.567,1
36,enthusiastic,0,11648.691,1
49,enthusiastic,1,9728.7266,1
38,enthusiastic,1,16080.714,0
33,enthusiastic,1,11530.327,1
20,enthusiastic,0,16440.793,0
35,enthusiastic,0,13576.993,0
40,enthusiastic,1,12874.184,0
39,enthusiastic,0,16488.535,0
32,enthusiastic,1,13764.001,1
29,enthusiastic,1,13594.086,1
24,enthusiastic,1,14056.799,0
29,enthusiastic,0,12188.998,1
38,enthusiastic,0,13666.308,0
43,enthusiastic,1,10436.762,0
32,enthusiastic,0,15259.289,1
42,enthusiastic,1,15645.584,0
36,enthusiastic,0,15764.943,0
31,enthusiastic,1,12671.946,1
45,enthusiastic,0,13553.732,1
43,enthusiastic,1,10880.771,1
39,enthusiastic,1,14687.451,1
44,enthusiastic,1,12718.728,0
51,enthusiastic,0,16028.052,0
46,enthusiastic,0,11081.826,1
23,enthusiastic,0,13716.77,1
22,enthusiastic,0,17664.279,0
